    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     228        -721.4688        3528.0932         245.3165         423.0927         628.4623        -315.6057           0.7247          -4.9650         -72.7846
     229        -721.4700        3528.0932         243.8115         422.3273         626.2316        -317.1243           0.8102          -5.4099         -73.1699
     230        -721.4714        3528.0932         242.3021         420.6075         618.6066        -312.3079           1.3229          -6.9757         -75.1372
     231        -721.4731        3528.0932         240.6695         418.4088         615.0256        -311.4259           0.9898          -7.7247         -75.4061
     232        -721.4753        3528.0932         238.6143         417.3034         621.2136        -322.6741          -0.4121          -6.4987         -72.4458
     233        -721.4779        3528.0932         236.1405         417.2831         622.6931        -331.5547          -0.6801          -6.1351         -71.4664
     234        -721.4810        3528.0932         233.2465         414.4800         610.7734        -325.5139          -0.1432          -8.2076         -74.2377
     235        -721.4846        3528.0932         229.9308         411.3489         617.1768        -338.7333          -2.6029          -6.6276         -70.1598
     236        -721.4891        3528.0932         226.7424         414.2341         613.5851        -347.5918          -1.3898          -7.5578         -71.4575
     237        -721.4944        3528.0932         223.9022         404.3318         610.2791        -342.9041          -6.1404          -8.1055         -68.4326
     238        -721.5006        3528.0932         219.0513         431.5749         622.5379        -396.9588           3.4169          -8.1068         -70.7365
     239        -721.5065        3528.0932         219.6382         327.3874         573.2920        -241.7647         -39.2274         -12.0634         -55.8002
     240        -721.4979        3528.0932         209.7401         691.1851         758.2149        -820.1795         103.4055          -5.6057         -96.3108
     241        -721.5154        3528.0932         211.8317         353.7130         580.5453        -298.7632         -32.2765         -12.5623         -57.0752
     242        -721.5159        3528.0932         212.8367         371.0907         591.1039        -323.6846         -25.3905         -12.2098         -58.7647
     243        -721.5164        3528.0932         215.1009         401.2142         609.5557        -365.4672         -13.6955         -11.5991         -61.7135
     244        -721.5165        3528.0932         218.9841         435.1161         630.6922        -408.8560          -1.1588         -11.0213         -65.0826
     245        -721.5165        3528.0932         219.2014         433.9448         630.0291        -406.3696          -1.7764         -11.0549         -64.9537
     246        -721.5166        3528.0932         219.5823         431.6649         628.6679        -401.5859          -2.9367         -11.1282         -64.6761
     247        -721.5166        3528.0932         220.1460         428.5045         626.8735        -394.9398          -4.5970         -11.2049         -64.3011
     248        -721.5167        3528.0932         220.8756         424.7889         624.7907        -386.9529          -6.5712         -11.3109         -63.8790
     249        -721.5168        3528.0932         221.7577         420.9188         622.6963        -378.3421          -8.6832         -11.4381         -63.4190
     250        -721.5168        3528.0932         222.7067         417.4547         620.8397        -370.1742         -10.6742         -11.5302         -62.9914
     251        -721.5170        3528.0932         223.6674         414.7974         619.5388        -363.3341         -12.3185         -11.6164         -62.6321
     252        -721.5171        3528.0932         224.7060         413.2054         618.9801        -358.0676         -13.5276         -11.6754         -62.3805
     253        -721.5172        3528.0932         225.7282         413.2469         619.4739        -355.5361         -14.0333         -11.7012         -62.2811
     254        -721.5174        3528.0932         226.6946         415.4165         621.2652        -356.5978         -13.6353         -11.6840         -62.3813
